patient,sex,status,sample,lane,fastq_1,fastq_2
uk1E5B60,NA,0,uk1E5B60,L001,s3://pgp10-fastqs/uk1E5B60_1.fastq.gz,s3://pgp10-fastqs/uk1E5B60_2.fastq.gz
uk20E91D,NA,0,uk20E91D,L001,s3://pgp10-fastqs/uk20E91D_1.fastq.gz,s3://pgp10-fastqs/uk20E91D_2.fastq.gz
uk2200DC,NA,0,uk2200DC,L001,s3://pgp10-fastqs/uk2200DC_1.fastq.gz,s3://pgp10-fastqs/uk2200DC_2.fastq.gz
uk247AEC,NA,0,uk247AEC,L001,s3://pgp10-fastqs/uk247AEC_1.fastq.gz,s3://pgp10-fastqs/uk247AEC_2.fastq.gz
uk28996F,NA,0,uk28996F,L001,s3://pgp10-fastqs/uk28996F_1.fastq.gz,s3://pgp10-fastqs/uk28996F_2.fastq.gz
uk2ABD6B,NA,0,uk2ABD6B,L001,s3://pgp10-fastqs/uk2ABD6B_1.fastq.gz,s3://pgp10-fastqs/uk2ABD6B_2.fastq.gz
uk2B4EC7,NA,0,uk2B4EC7,L001,s3://pgp10-fastqs/uk2B4EC7_1.fastq.gz,s3://pgp10-fastqs/uk2B4EC7_2.fastq.gz
uk2C1EB9,NA,0,uk2C1EB9,L001,s3://pgp10-fastqs/uk2C1EB9_1.fastq.gz,s3://pgp10-fastqs/uk2C1EB9_2.fastq.gz
uk2DF242,NA,0,uk2DF242,L001,s3://pgp10-fastqs/uk2DF242_1.fastq.gz,s3://pgp10-fastqs/uk2DF242_2.fastq.gz
uk2E2AAE,NA,0,uk2E2AAE,L001,s3://pgp10-fastqs/uk2E2AAE_1.fastq.gz,s3://pgp10-fastqs/uk2E2AAE_2.fastq.gz
uk2FAAF0,NA,0,uk2FAAF0,L001,s3://pgp10-fastqs/uk2FAAF0_1.fastq.gz,s3://pgp10-fastqs/uk2FAAF0_2.fastq.gz
uk2FDC52,NA,0,uk2FDC52,L001,s3://pgp10-fastqs/uk2FDC52_1.fastq.gz,s3://pgp10-fastqs/uk2FDC52_2.fastq.gz
uk305BA4,NA,0,uk305BA4,L001,s3://pgp10-fastqs/uk305BA4_1.fastq.gz,s3://pgp10-fastqs/uk305BA4_2.fastq.gz
uk31EDD4,NA,0,uk31EDD4,L001,s3://pgp10-fastqs/uk31EDD4_1.fastq.gz,s3://pgp10-fastqs/uk31EDD4_2.fastq.gz
uk324659,NA,0,uk324659,L001,s3://pgp10-fastqs/uk324659_1.fastq.gz,s3://pgp10-fastqs/uk324659_2.fastq.gz
uk33D02F,NA,0,uk33D02F,L001,s3://pgp10-fastqs/uk33D02F_1.fastq.gz,s3://pgp10-fastqs/uk33D02F_2.fastq.gz
uk35C650,NA,0,uk35C650,L001,s3://pgp10-fastqs/uk35C650_1.fastq.gz,s3://pgp10-fastqs/uk35C650_2.fastq.gz
uk37D41A,NA,0,uk37D41A,L001,s3://pgp10-fastqs/uk37D41A_1.fastq.gz,s3://pgp10-fastqs/uk37D41A_2.fastq.gz
uk39054D,NA,0,uk39054D,L001,s3://pgp10-fastqs/uk39054D_1.fastq.gz,s3://pgp10-fastqs/uk39054D_2.fastq.gz
uk393BF2,NA,0,uk393BF2,L001,s3://pgp10-fastqs/uk393BF2_1.fastq.gz,s3://pgp10-fastqs/uk393BF2_2.fastq.gz
uk39B2EB,NA,0,uk39B2EB,L001,s3://pgp10-fastqs/uk39B2EB_1.fastq.gz,s3://pgp10-fastqs/uk39B2EB_2.fastq.gz
uk3CAFB3,NA,0,uk3CAFB3,L001,s3://pgp10-fastqs/uk3CAFB3_1.fastq.gz,s3://pgp10-fastqs/uk3CAFB3_2.fastq.gz
uk401869,NA,0,uk401869,L001,s3://pgp10-fastqs/uk401869_1.fastq.gz,s3://pgp10-fastqs/uk401869_2.fastq.gz
uk421E54,NA,0,uk421E54,L001,s3://pgp10-fastqs/uk421E54_1.fastq.gz,s3://pgp10-fastqs/uk421E54_2.fastq.gz
uk457688,NA,0,uk457688,L001,s3://pgp10-fastqs/uk457688_1.fastq.gz,s3://pgp10-fastqs/uk457688_2.fastq.gz
uk481F67,NA,0,uk481F67,L001,s3://pgp10-fastqs/uk481F67_1.fastq.gz,s3://pgp10-fastqs/uk481F67_2.fastq.gz
uk486E45,NA,0,uk486E45,L001,s3://pgp10-fastqs/uk486E45_1.fastq.gz,s3://pgp10-fastqs/uk486E45_2.fastq.gz
uk48CE67,NA,0,uk48CE67,L001,s3://pgp10-fastqs/uk48CE67_1.fastq.gz,s3://pgp10-fastqs/uk48CE67_2.fastq.gz
uk48E359,NA,0,uk48E359,L001,s3://pgp10-fastqs/uk48E359_1.fastq.gz,s3://pgp10-fastqs/uk48E359_2.fastq.gz
uk496F0B,NA,0,uk496F0B,L001,s3://pgp10-fastqs/uk496F0B_1.fastq.gz,s3://pgp10-fastqs/uk496F0B_2.fastq.gz
uk4CA868,NA,0,uk4CA868,L001,s3://pgp10-fastqs/uk4CA868_1.fastq.gz,s3://pgp10-fastqs/uk4CA868_2.fastq.gz
uk4D2EA6,NA,0,uk4D2EA6,L001,s3://pgp10-fastqs/uk4D2EA6_1.fastq.gz,s3://pgp10-fastqs/uk4D2EA6_2.fastq.gz
uk55955C,NA,0,uk55955C,L001,s3://pgp10-fastqs/uk55955C_1.fastq.gz,s3://pgp10-fastqs/uk55955C_2.fastq.gz
uk58BACF,NA,0,uk58BACF,L001,s3://pgp10-fastqs/uk58BACF_1.fastq.gz,s3://pgp10-fastqs/uk58BACF_2.fastq.gz
uk5C0AD5,NA,0,uk5C0AD5,L001,s3://pgp10-fastqs/uk5C0AD5_1.fastq.gz,s3://pgp10-fastqs/uk5C0AD5_2.fastq.gz
uk5E5B15,NA,0,uk5E5B15,L001,s3://pgp10-fastqs/uk5E5B15_1.fastq.gz,s3://pgp10-fastqs/uk5E5B15_2.fastq.gz
uk5EC8D0,NA,0,uk5EC8D0,L001,s3://pgp10-fastqs/uk5EC8D0_1.fastq.gz,s3://pgp10-fastqs/uk5EC8D0_2.fastq.gz
uk5FABB5,NA,0,uk5FABB5,L001,s3://pgp10-fastqs/uk5FABB5_1.fastq.gz,s3://pgp10-fastqs/uk5FABB5_2.fastq.gz
uk63112C,NA,0,uk63112C,L001,s3://pgp10-fastqs/uk63112C_1.fastq.gz,s3://pgp10-fastqs/uk63112C_2.fastq.gz
uk64379B,NA,0,uk64379B,L001,s3://pgp10-fastqs/uk64379B_1.fastq.gz,s3://pgp10-fastqs/uk64379B_2.fastq.gz
uk655115,NA,0,uk655115,L001,s3://pgp10-fastqs/uk655115_1.fastq.gz,s3://pgp10-fastqs/uk655115_2.fastq.gz
uk65E564,NA,0,uk65E564,L001,s3://pgp10-fastqs/uk65E564_1.fastq.gz,s3://pgp10-fastqs/uk65E564_2.fastq.gz
uk689863,NA,0,uk689863,L001,s3://pgp10-fastqs/uk689863_1.fastq.gz,s3://pgp10-fastqs/uk689863_2.fastq.gz
uk6C54D7,NA,0,uk6C54D7,L001,s3://pgp10-fastqs/uk6C54D7_1.fastq.gz,s3://pgp10-fastqs/uk6C54D7_2.fastq.gz
uk6F5B69,NA,0,uk6F5B69,L001,s3://pgp10-fastqs/uk6F5B69_1.fastq.gz,s3://pgp10-fastqs/uk6F5B69_2.fastq.gz
uk740176,NA,0,uk740176,L001,s3://pgp10-fastqs/uk740176_1.fastq.gz,s3://pgp10-fastqs/uk740176_2.fastq.gz
uk75E7BC,NA,0,uk75E7BC,L001,s3://pgp10-fastqs/uk75E7BC_1.fastq.gz,s3://pgp10-fastqs/uk75E7BC_2.fastq.gz
uk85AA3B,NA,0,uk85AA3B,L001,s3://pgp10-fastqs/uk85AA3B_1.fastq.gz,s3://pgp10-fastqs/uk85AA3B_2.fastq.gz
uk87BD26,NA,0,uk87BD26,L001,s3://pgp10-fastqs/uk87BD26_1.fastq.gz,s3://pgp10-fastqs/uk87BD26_2.fastq.gz
uk9148F7,NA,0,uk9148F7,L001,s3://pgp10-fastqs/uk9148F7_1.fastq.gz,s3://pgp10-fastqs/uk9148F7_2.fastq.gz
uk92A44E,NA,0,uk92A44E,L001,s3://pgp10-fastqs/uk92A44E_1.fastq.gz,s3://pgp10-fastqs/uk92A44E_2.fastq.gz
uk97975D,NA,0,uk97975D,L001,s3://pgp10-fastqs/uk97975D_1.fastq.gz,s3://pgp10-fastqs/uk97975D_2.fastq.gz
uk9A677F,NA,0,uk9A677F,L001,s3://pgp10-fastqs/uk9A677F_1.fastq.gz,s3://pgp10-fastqs/uk9A677F_2.fastq.gz
uk9F08CE,NA,0,uk9F08CE,L001,s3://pgp10-fastqs/uk9F08CE_1.fastq.gz,s3://pgp10-fastqs/uk9F08CE_2.fastq.gz
uk9F6EDA,NA,0,uk9F6EDA,L001,s3://pgp10-fastqs/uk9F6EDA_1.fastq.gz,s3://pgp10-fastqs/uk9F6EDA_2.fastq.gz
ukA2FF31,NA,0,ukA2FF31,L001,s3://pgp10-fastqs/ukA2FF31_1.fastq.gz,s3://pgp10-fastqs/ukA2FF31_2.fastq.gz
ukA41CB7,NA,0,ukA41CB7,L001,s3://pgp10-fastqs/ukA41CB7_1.fastq.gz,s3://pgp10-fastqs/ukA41CB7_2.fastq.gz
ukA66537,NA,0,ukA66537,L001,s3://pgp10-fastqs/ukA66537_1.fastq.gz,s3://pgp10-fastqs/ukA66537_2.fastq.gz
ukA866BF,NA,0,ukA866BF,L001,s3://pgp10-fastqs/ukA866BF_1.fastq.gz,s3://pgp10-fastqs/ukA866BF_2.fastq.gz
ukAA8E38,NA,0,ukAA8E38,L001,s3://pgp10-fastqs/ukAA8E38_1.fastq.gz,s3://pgp10-fastqs/ukAA8E38_2.fastq.gz
ukAC4950,NA,0,ukAC4950,L001,s3://pgp10-fastqs/ukAC4950_1.fastq.gz,s3://pgp10-fastqs/ukAC4950_2.fastq.gz
ukAE0694,NA,0,ukAE0694,L001,s3://pgp10-fastqs/ukAE0694_1.fastq.gz,s3://pgp10-fastqs/ukAE0694_2.fastq.gz
ukAED6EE,NA,0,ukAED6EE,L001,s3://pgp10-fastqs/ukAED6EE_1.fastq.gz,s3://pgp10-fastqs/ukAED6EE_2.fastq.gz
ukB4491A,NA,0,ukB4491A,L001,s3://pgp10-fastqs/ukB4491A_1.fastq.gz,s3://pgp10-fastqs/ukB4491A_2.fastq.gz
ukB4A6DF,NA,0,ukB4A6DF,L001,s3://pgp10-fastqs/ukB4A6DF_1.fastq.gz,s3://pgp10-fastqs/ukB4A6DF_2.fastq.gz
ukB66F1C,NA,0,ukB66F1C,L001,s3://pgp10-fastqs/ukB66F1C_1.fastq.gz,s3://pgp10-fastqs/ukB66F1C_2.fastq.gz
ukB8CD68,NA,0,ukB8CD68,L001,s3://pgp10-fastqs/ukB8CD68_1.fastq.gz,s3://pgp10-fastqs/ukB8CD68_2.fastq.gz
ukBA4FF7,NA,0,ukBA4FF7,L001,s3://pgp10-fastqs/ukBA4FF7_1.fastq.gz,s3://pgp10-fastqs/ukBA4FF7_2.fastq.gz
ukBAF52F,NA,0,ukBAF52F,L001,s3://pgp10-fastqs/ukBAF52F_1.fastq.gz,s3://pgp10-fastqs/ukBAF52F_2.fastq.gz
ukC4864A,NA,0,ukC4864A,L001,s3://pgp10-fastqs/ukC4864A_1.fastq.gz,s3://pgp10-fastqs/ukC4864A_2.fastq.gz
ukC8A0B0,NA,0,ukC8A0B0,L001,s3://pgp10-fastqs/ukC8A0B0_1.fastq.gz,s3://pgp10-fastqs/ukC8A0B0_2.fastq.gz
ukC97BE5,NA,0,ukC97BE5,L001,s3://pgp10-fastqs/ukC97BE5_1.fastq.gz,s3://pgp10-fastqs/ukC97BE5_2.fastq.gz
ukD653EA,NA,0,ukD653EA,L001,s3://pgp10-fastqs/ukD653EA_1.fastq.gz,s3://pgp10-fastqs/ukD653EA_2.fastq.gz
ukD768D4,NA,0,ukD768D4,L001,s3://pgp10-fastqs/ukD768D4_1.fastq.gz,s3://pgp10-fastqs/ukD768D4_2.fastq.gz
ukDAC808,NA,0,ukDAC808,L001,s3://pgp10-fastqs/ukDAC808_1.fastq.gz,s3://pgp10-fastqs/ukDAC808_2.fastq.gz
ukDC29B8,NA,0,ukDC29B8,L001,s3://pgp10-fastqs/ukDC29B8_1.fastq.gz,s3://pgp10-fastqs/ukDC29B8_2.fastq.gz
ukDD3C78,NA,0,ukDD3C78,L001,s3://pgp10-fastqs/ukDD3C78_1.fastq.gz,s3://pgp10-fastqs/ukDD3C78_2.fastq.gz
ukDEA88B,NA,0,ukDEA88B,L001,s3://pgp10-fastqs/ukDEA88B_1.fastq.gz,s3://pgp10-fastqs/ukDEA88B_2.fastq.gz
ukE52AAC,NA,0,ukE52AAC,L001,s3://pgp10-fastqs/ukE52AAC_1.fastq.gz,s3://pgp10-fastqs/ukE52AAC_2.fastq.gz
ukE53A44,NA,0,ukE53A44,L001,s3://pgp10-fastqs/ukE53A44_1.fastq.gz,s3://pgp10-fastqs/ukE53A44_2.fastq.gz
ukE7EF69,NA,0,ukE7EF69,L001,s3://pgp10-fastqs/ukE7EF69_1.fastq.gz,s3://pgp10-fastqs/ukE7EF69_2.fastq.gz
ukE80D96,NA,0,ukE80D96,L001,s3://pgp10-fastqs/ukE80D96_1.fastq.gz,s3://pgp10-fastqs/ukE80D96_2.fastq.gz
ukE8DC4E,NA,0,ukE8DC4E,L001,s3://pgp10-fastqs/ukE8DC4E_1.fastq.gz,s3://pgp10-fastqs/ukE8DC4E_2.fastq.gz
ukEAF940,NA,0,ukEAF940,L001,s3://pgp10-fastqs/ukEAF940_1.fastq.gz,s3://pgp10-fastqs/ukEAF940_2.fastq.gz
ukF1A7A6,NA,0,ukF1A7A6,L001,s3://pgp10-fastqs/ukF1A7A6_1.fastq.gz,s3://pgp10-fastqs/ukF1A7A6_2.fastq.gz
ukF3D20F,NA,0,ukF3D20F,L001,s3://pgp10-fastqs/ukF3D20F_1.fastq.gz,s3://pgp10-fastqs/ukF3D20F_2.fastq.gz
ukF6D075,NA,0,ukF6D075,L001,s3://pgp10-fastqs/ukF6D075_1.fastq.gz,s3://pgp10-fastqs/ukF6D075_2.fastq.gz
ukFCACC7,NA,0,ukFCACC7,L001,s3://pgp10-fastqs/ukFCACC7_1.fastq.gz,s3://pgp10-fastqs/ukFCACC7_2.fastq.gz
